epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.095,1.29976,2.52992,1.63501,0.64368,0.24667,0.23202,0.12343,2.44911,4.50275,2.39449,0.000237265,0.000237265,0.000237265
2,311.605,1.38271,1.98555,1.68838,0.28127,0.26096,0.18092,0.08121,2.70843,5.28109,2.68884,0.000467424,0.000467424,0.000467424
3,461.156,1.4112,2.08605,1.71383,0.64851,0.19529,0.20431,0.09345,2.40273,4.64606,2.50056,0.000689728,0.000689728,0.000689728
4,621.724,1.40295,1.9604,1.71296,0.28386,0.31326,0.18353,0.09965,2.38093,5.98143,2.45803,0.000678657,0.000678657,0.000678657
5,772.365,1.33366,1.86629,1.67758,0.4698,0.32049,0.29541,0.14811,2.41936,4.81303,2.51049,0.000666876,0.000666876,0.000666876
6,914.646,1.29184,1.71851,1.61563,0.62403,0.28829,0.2903,0.14001,2.25474,4.87858,2.38061,0.000655095,0.000655095,0.000655095
7,1053.16,1.2488,1.62717,1.59288,0.5401,0.36446,0.39969,0.24683,2.1058,4.48683,2.2249,0.000643314,0.000643314,0.000643314
8,1190.7,1.22135,1.53254,1.56548,0.85951,0.35772,0.41193,0.26057,2.06727,4.513,2.17787,0.000631533,0.000631533,0.000631533
9,1327.33,1.17211,1.44566,1.52733,0.58082,0.37834,0.36158,0.21467,2.19432,4.79065,2.30328,0.000619752,0.000619752,0.000619752
10,1470.61,1.14293,1.39339,1.51931,0.90533,0.33337,0.39496,0.24606,2.1496,4.82137,2.21727,0.000607971,0.000607971,0.000607971
11,1617.96,1.14646,1.39019,1.51647,0.81178,0.3874,0.43359,0.27538,2.19552,4.63237,2.26308,0.00059619,0.00059619,0.00059619
12,1758.63,1.1158,1.31288,1.48539,0.69664,0.38747,0.41187,0.28125,2.12106,4.80059,2.19324,0.000584409,0.000584409,0.000584409
13,1893.03,1.10248,1.31669,1.47451,0.75337,0.34688,0.40407,0.26371,2.03815,4.83072,2.14815,0.000572628,0.000572628,0.000572628
14,2034.32,1.06896,1.23032,1.44894,0.7822,0.382,0.43461,0.29713,2.06781,4.64454,2.10995,0.000560847,0.000560847,0.000560847
15,2177.24,1.05497,1.20722,1.42796,0.6576,0.41137,0.43757,0.30066,2.07431,4.73859,2.08506,0.000549066,0.000549066,0.000549066
16,2319.01,1.03715,1.17196,1.42648,0.64925,0.41151,0.4505,0.30188,2.10889,4.54793,2.14398,0.000537285,0.000537285,0.000537285
17,2463.01,1.03146,1.1348,1.41389,0.79736,0.43674,0.46854,0.31591,2.07509,4.37769,2.11316,0.000525504,0.000525504,0.000525504
18,2602.8,1.02101,1.14827,1.42557,0.67448,0.45496,0.47223,0.32442,2.04412,4.38059,2.07529,0.000513723,0.000513723,0.000513723
19,2753.57,0.98638,1.0866,1.38874,0.76903,0.44367,0.45965,0.307,1.9965,4.59248,2.08323,0.000501942,0.000501942,0.000501942
20,2902.38,0.9533,1.02986,1.3567,0.63787,0.43791,0.47091,0.33428,2.08268,4.30035,2.11211,0.000490161,0.000490161,0.000490161
21,3047.2,0.95039,1.03102,1.35967,0.57737,0.43607,0.47631,0.32796,2.0595,4.43715,2.09856,0.00047838,0.00047838,0.00047838
22,3205.74,0.94855,1.00428,1.35295,0.63772,0.44732,0.4795,0.34516,2.0068,4.44142,2.06645,0.000466599,0.000466599,0.000466599
23,3393.02,0.93573,0.97615,1.34512,0.68344,0.43703,0.44568,0.31767,1.9681,4.60512,2.0793,0.000454818,0.000454818,0.000454818
24,3551.41,0.9152,0.96012,1.33458,0.77172,0.42076,0.47638,0.33824,2.06156,4.61142,2.10969,0.000443037,0.000443037,0.000443037
25,3714.9,0.89565,0.92104,1.31719,0.80412,0.39626,0.47347,0.33602,1.98953,4.7012,2.08919,0.000431256,0.000431256,0.000431256
26,3875.32,0.90307,0.92961,1.3173,0.71209,0.47751,0.49313,0.36158,1.99176,4.5831,2.10231,0.000419475,0.000419475,0.000419475
27,4033.44,0.88044,0.89556,1.30912,0.73452,0.44218,0.48283,0.34977,1.92688,4.77326,2.03422,0.000407694,0.000407694,0.000407694
28,4190.33,0.88838,0.87928,1.31642,0.84672,0.44788,0.48218,0.34854,1.95746,4.73241,2.06424,0.000395913,0.000395913,0.000395913
29,4348.87,0.86447,0.87009,1.30079,0.63375,0.46033,0.49908,0.3636,1.89478,4.30746,1.97725,0.000384132,0.000384132,0.000384132
30,4506.2,0.86093,0.85274,1.29022,0.78794,0.46755,0.50993,0.36515,2.01612,4.65335,2.10954,0.000372351,0.000372351,0.000372351
31,4665.51,0.85775,0.8518,1.28245,0.86464,0.43334,0.50343,0.35777,1.99119,4.57631,2.05089,0.00036057,0.00036057,0.00036057
32,4808.06,0.84268,0.8217,1.27484,0.65866,0.47863,0.50843,0.35991,1.89679,4.55525,1.99932,0.000348789,0.000348789,0.000348789
33,4940.05,0.82865,0.79309,1.26088,0.80052,0.43753,0.50796,0.36583,1.98233,4.65168,2.0797,0.000337008,0.000337008,0.000337008
34,5071.29,0.83141,0.80785,1.27299,0.76069,0.4683,0.49902,0.35129,2.06195,4.77706,2.14103,0.000325227,0.000325227,0.000325227
35,5202.89,0.79664,0.77756,1.24573,0.68834,0.45836,0.50127,0.37778,1.94517,4.63549,2.03694,0.000313446,0.000313446,0.000313446
36,5334.5,0.79481,0.77062,1.25078,0.71707,0.46721,0.50612,0.36877,1.95673,4.60383,2.04583,0.000301665,0.000301665,0.000301665
37,5466.55,0.76368,0.74017,1.2255,0.63161,0.4969,0.49934,0.362,1.98712,4.73509,2.06716,0.000289884,0.000289884,0.000289884
38,5602.34,0.78436,0.75753,1.24431,0.74327,0.4689,0.5171,0.38492,1.92995,4.6074,2.04129,0.000278103,0.000278103,0.000278103
39,5755.53,0.77795,0.74771,1.23599,0.81082,0.46999,0.50104,0.37035,1.95222,4.70265,2.04179,0.000266322,0.000266322,0.000266322
40,5906.6,0.76946,0.72762,1.22104,0.83026,0.46155,0.51319,0.3809,1.95099,4.73045,2.06461,0.000254541,0.000254541,0.000254541
41,6045.58,0.76183,0.72588,1.22224,0.69239,0.4576,0.50633,0.37157,2.01455,4.63961,2.10597,0.00024276,0.00024276,0.00024276
42,6185.17,0.74932,0.71247,1.20905,0.66922,0.50126,0.51595,0.37663,1.91995,4.70086,2.01326,0.000230979,0.000230979,0.000230979
43,6326.02,0.75487,0.72289,1.21494,0.70438,0.45961,0.49395,0.35434,1.95697,4.74812,2.03836,0.000219198,0.000219198,0.000219198
44,6467.38,0.73666,0.6971,1.20249,0.67683,0.46786,0.50641,0.38185,1.98341,4.78717,2.05376,0.000207417,0.000207417,0.000207417
45,6607.16,0.71818,0.67217,1.18861,0.67447,0.4529,0.50889,0.38023,1.97808,4.72994,2.07358,0.000195636,0.000195636,0.000195636
46,6747.23,0.70824,0.64755,1.18433,0.68961,0.47592,0.51233,0.3936,1.93967,4.62538,2.05035,0.000183855,0.000183855,0.000183855
47,6885.56,0.71385,0.64181,1.18315,0.69242,0.4831,0.51671,0.402,1.88638,4.68152,2.01932,0.000172074,0.000172074,0.000172074
48,7026.98,0.70891,0.65138,1.18914,0.72341,0.5007,0.52736,0.40181,1.91187,4.71143,2.04521,0.000160293,0.000160293,0.000160293
49,7184.13,0.68496,0.62794,1.17131,0.6598,0.46543,0.5185,0.3947,1.89963,4.71089,2.00951,0.000148512,0.000148512,0.000148512
50,7321.61,0.67702,0.61461,1.16086,0.70717,0.46881,0.51658,0.39786,1.9531,4.81044,2.06252,0.000136731,0.000136731,0.000136731
51,7460.26,0.61451,0.50556,1.15813,0.58765,0.53058,0.51634,0.39976,1.95321,4.86519,2.06886,0.00012495,0.00012495,0.00012495
52,7611.06,0.59851,0.47299,1.13896,0.66941,0.45092,0.50689,0.3915,1.93574,4.78389,2.04908,0.000113169,0.000113169,0.000113169
53,7747.67,0.58917,0.44347,1.12675,0.6045,0.51315,0.51234,0.39517,1.91936,4.93679,2.0295,0.000101388,0.000101388,0.000101388
54,7882.99,0.57516,0.43468,1.12486,0.57401,0.52349,0.51095,0.3963,1.92605,4.94548,2.03395,8.9607e-05,8.9607e-05,8.9607e-05
55,8033.77,0.55698,0.41612,1.10577,0.5839,0.51532,0.50523,0.38672,1.92134,4.95924,2.04465,7.7826e-05,7.7826e-05,7.7826e-05
56,8194.77,0.54819,0.40493,1.09325,0.61978,0.50504,0.50429,0.38729,1.93632,4.97388,2.05372,6.6045e-05,6.6045e-05,6.6045e-05
57,8353.48,0.53931,0.40132,1.09047,0.68992,0.46772,0.51033,0.39927,1.91943,4.91995,2.03138,5.4264e-05,5.4264e-05,5.4264e-05
58,8507.38,0.52837,0.38725,1.08941,0.61487,0.51061,0.51219,0.39869,1.92304,4.98299,2.03382,4.2483e-05,4.2483e-05,4.2483e-05
59,8644.6,0.52721,0.37774,1.09378,0.64829,0.50521,0.51828,0.39828,1.91977,4.91086,2.03398,3.0702e-05,3.0702e-05,3.0702e-05
