epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.966,2.0738,2.91059,1.61373,0.4777,0.14831,0.09395,0.05282,1.90476,3.12012,2.09111,0.00023983,0.00023983,0.080254
2,655.236,2.05867,2.57301,1.60402,0.5794,0.12258,0.10785,0.06495,1.83327,3.09138,2.03076,0.000479806,0.000479806,0.060494
3,973.128,2.00353,2.41116,1.57034,0.52938,0.20136,0.15573,0.09596,1.68592,2.55906,1.91903,0.000719685,0.000719685,0.0407338
4,1290.85,1.95543,2.23073,1.52915,0.55776,0.18521,0.18144,0.11187,1.67264,2.6488,1.8761,0.000959394,0.000959394,0.0209736
5,1603.73,1.91354,2.12745,1.50133,0.65471,0.18056,0.21577,0.13234,1.63535,2.33557,1.85863,0.00119886,0.00119886,0.00121303
6,1916.15,1.85857,1.9866,1.46322,0.63828,0.21912,0.25912,0.16281,1.55214,2.18825,1.80269,0.00119849,0.00119849,0.00119849
7,2227.5,1.85764,1.92954,1.4448,0.59616,0.24929,0.27645,0.17443,1.54578,2.06675,1.80187,0.00119782,0.00119782,0.00119782
8,2540.43,1.82206,1.84396,1.41667,0.58845,0.29115,0.33312,0.20911,1.52285,1.91338,1.78008,0.00119703,0.00119703,0.00119703
9,2849.92,1.77892,1.74998,1.40354,0.62861,0.2677,0.33063,0.20751,1.49259,1.89329,1.7777,0.00119613,0.00119613,0.00119613
10,3156.06,1.76591,1.71117,1.39919,0.65411,0.28538,0.3461,0.2225,1.46063,1.80753,1.75,0.0011951,0.0011951,0.0011951
11,3461.82,1.75667,1.6719,1.38585,0.6288,0.3395,0.39278,0.24929,1.43832,1.6979,1.71748,0.00119395,0.00119395,0.00119395
12,3768.8,1.74394,1.63756,1.37398,0.58984,0.32388,0.38996,0.25037,1.46115,1.73469,1.74254,0.00119269,0.00119269,0.00119269
